aa_eleicao;sg_partido;ds_genero;pe_cand_partido_genero;nr_candidatos;dt_carga
2020;PP;Feminino;33,26;12755;2022-11-10 02:12:27
2020;SOLIDARIEDADE;Masculino;66,65;11370;2022-11-10 02:12:27
2020;PROS;Masculino;66,83;7905;2022-11-10 02:12:27
2020;PMB;Feminino;35,67;1025;2022-11-10 02:12:27
2020;UP;Feminino;43,29;58;2022-11-10 02:12:27
2020;PL;Feminino;33,37;9457;2022-11-10 02:12:27
2020;PCO;Masculino;72,72;104;2022-11-10 02:12:27
2020;PCO;Feminino;27,28;39;2022-11-10 02:12:27
2020;REDE;Masculino;65,75;3189;2022-11-10 02:12:27
2020;CIDADANIA;Feminino;33,51;5854;2022-11-10 02:12:27
2020;NOVO;Masculino;65,48;406;2022-11-10 02:12:27
2020;PMN;Masculino;66,98;3387;2022-11-10 02:12:27
2020;PATRIOTA;Masculino;67,2;9632;2022-11-10 02:12:27
2020;PV;Masculino;66,3;8097;2022-11-10 02:12:27
2020;PSDB;Feminino;33,32;11013;2022-11-10 02:12:27
2020;PSOL;Masculino;63,73;3019;2022-11-10 02:12:27
2020;PSB;Masculino;66,39;17832;2022-11-10 02:12:27
2020;PODE;Masculino;66,9;13783;2022-11-10 02:12:27
2020;PDT;Masculino;66,67;19072;2022-11-10 02:12:27
2020;PTC;Feminino;33,37;2278;2022-11-10 02:12:27
2020;PC do B;Feminino;34,15;3647;2022-11-10 02:12:27
2020;PSDB;Masculino;66,68;22043;2022-11-10 02:12:27
2020;DC;Masculino;67,18;3258;2022-11-10 02:12:27
2020;PTB;Masculino;66,74;15815;2022-11-10 02:12:27
2020;PTC;Masculino;66,63;4550;2022-11-10 02:12:27
2020;PRTB;Feminino;32,59;2595;2022-11-10 02:12:27
2020;PP;Masculino;66,74;25597;2022-11-10 02:12:27
2020;DEM;Masculino;66,65;22074;2022-11-10 02:12:27
2020;PODE;Feminino;33,1;6819;2022-11-10 02:12:27
2020;NOVO;Feminino;34,52;214;2022-11-10 02:12:27
2020;MDB;Feminino;33,43;15013;2022-11-10 02:12:27
2020;PMN;Feminino;33,02;1669;2022-11-10 02:12:27
2020;REPUBLICANOS;Feminino;33,31;9574;2022-11-10 02:12:27
2020;PDT;Feminino;33,33;9532;2022-11-10 02:12:27
2020;PATRIOTA;Feminino;32,8;4700;2022-11-10 02:12:27
2020;DEM;Feminino;33,35;11042;2022-11-10 02:12:27
2020;PC do B;Masculino;65,85;7033;2022-11-10 02:12:27
2020;MDB;Masculino;66,57;29906;2022-11-10 02:12:27
2020;PSC;Feminino;33,1;5970;2022-11-10 02:12:27
2020;PTB;Feminino;33,26;7880;2022-11-10 02:12:27
2020;PL;Masculino;66,63;18890;2022-11-10 02:12:27
2020;AVANTE;Masculino;67,01;10191;2022-11-10 02:12:27
2020;PSD;Feminino;33,18;13115;2022-11-10 02:12:27
2020;PRTB;Masculino;67,41;5369;2022-11-10 02:12:27
2020;SOLIDARIEDADE;Feminino;33,35;5689;2022-11-10 02:12:27
2020;REPUBLICANOS;Masculino;66,69;19169;2022-11-10 02:12:27
2020;PCB;Masculino;69,73;53;2022-11-10 02:12:27
2020;DC;Feminino;32,82;1591;2022-11-10 02:12:27
2020;PSL;Masculino;67,29;14883;2022-11-10 02:12:27
2020;PMB;Masculino;64,33;1849;2022-11-10 02:12:27
2020;PROS;Feminino;33,17;3922;2022-11-10 02:12:27
2020;PSTU;Feminino;39,33;81;2022-11-10 02:12:27
2020;PSD;Masculino;66,82;26415;2022-11-10 02:12:27
2020;PT;Feminino;34,97;11067;2022-11-10 02:12:27
2020;PSB;Feminino;33,61;9025;2022-11-10 02:12:27
2020;PV;Feminino;33,7;4115;2022-11-10 02:12:27
2020;PT;Masculino;65,03;20587;2022-11-10 02:12:27
2020;CIDADANIA;Masculino;66,49;11617;2022-11-10 02:12:27
2020;AVANTE;Feminino;32,99;5015;2022-11-10 02:12:27
2020;PSC;Masculino;66,9;12068;2022-11-10 02:12:27
2020;PSOL;Feminino;36,27;1718;2022-11-10 02:12:27
2020;PCB;Feminino;30,27;23;2022-11-10 02:12:27
2020;UP;Masculino;56,71;76;2022-11-10 02:12:27
2020;PSL;Feminino;32,71;7233;2022-11-10 02:12:27
2020;PSTU;Masculino;60,67;125;2022-11-10 02:12:27
2020;REDE;Feminino;34,25;1661;2022-11-10 02:12:27
